Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",187.960000,-103.505000,180.000000,top
"C2","100nF","C_0603_1608Metric",187.960000,-105.410000,180.000000,top
"J1","Micro_SD_Card_Det2","microSD_HC_Hirose_DM3D-SF",186.690000,-95.250000,90.000000,top
"J4","STM32WORLD_CONNECTOR_1","PinSocket_2x20_P2.54mm_Vertical_Stackable",134.620000,-113.030000,90.000000,top
"J5","STM32WORLD_CONNECTOR_2","PinSocket_2x20_P2.54mm_Vertical_Stackable",182.880000,-77.470000,-90.000000,top
"R1","4k7","R_0603_1608Metric",176.530000,-87.630000,180.000000,top
"R2","4k7","R_0603_1608Metric",176.530000,-103.505000,180.000000,top
"R3","4k7","R_0603_1608Metric",176.530000,-90.805000,180.000000,top
"R4","4k7","R_0603_1608Metric",176.530000,-97.155000,180.000000,top
"R5","4k7","R_0603_1608Metric",176.530000,-100.330000,180.000000,top
"R6","4k7","R_0603_1608Metric",176.530000,-93.980000,0.000000,top
